Gene_ID,GO_ID,GO_Term,Ontology
Ca_22515,GO:0005975,carbohydrate metabolic process,BP
Ca_22515,GO:0030246,carbohydrate binding,MF
Ca_22517,GO:0005506,iron ion binding,MF
Ca_22517,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_22517,GO:0020037,heme binding,MF
Ca_22518,GO:0005509,calcium ion binding,MF
Ca_22519,GO:0003824,catalytic activity,MF
Ca_22519,GO:0004630,D-type glycerophospholipase activity,MF
Ca_22519,GO:0005509,calcium ion binding,MF
Ca_22519,GO:0005515,protein binding,MF
Ca_22519,GO:0008152,metabolic process,BP
Ca_22519,GO:0016020,membrane,CC
Ca_22519,GO:0046470,phosphatidylcholine metabolic process,BP
Ca_22520,GO:0008915,lipid-A-disaccharide synthase activity,MF
Ca_22520,GO:0009245,lipid A biosynthetic process,BP
Ca_22522,GO:0000166,nucleotide binding,MF
Ca_22522,GO:0003676,nucleic acid binding,MF
Ca_22523,GO:0004672,protein kinase activity,MF
Ca_22523,GO:0004713,protein tyrosine kinase activity,MF
Ca_22523,GO:0005524,ATP binding,MF
Ca_22523,GO:0006468,protein phosphorylation,BP
Ca_22523,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_22526,GO:0000166,nucleotide binding,MF
Ca_22526,GO:0005524,ATP binding,MF
Ca_22526,GO:0006810,transport,BP
Ca_22526,GO:0016887,ATP hydrolysis activity,MF
Ca_22526,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_22526,GO:0042626,ATPase-coupled transmembrane transporter activity,MF
Ca_22526,GO:0055085,transmembrane transport,BP
Ca_22527,GO:0008152,metabolic process,BP
Ca_22527,GO:0016791,phosphatase activity,MF
Ca_22528,GO:0008152,metabolic process,BP
Ca_22528,GO:0016791,phosphatase activity,MF
Ca_22529,GO:0000159,protein phosphatase type 2A complex,CC
Ca_22529,GO:0005515,protein binding,MF
Ca_22529,GO:0007165,signal transduction,BP
Ca_22530,GO:0003677,DNA binding,MF
Ca_22530,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22531,GO:0005515,protein binding,MF
Ca_22532,GO:0005515,protein binding,MF
Ca_22532,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Ca_22537,GO:0006520,amino acid metabolic process,BP
Ca_22537,GO:0016491,oxidoreductase activity,MF
Ca_22538,GO:0005515,protein binding,MF
Ca_22540,GO:0003735,structural constituent of ribosome,MF
Ca_22540,GO:0005622,intracellular anatomical structure,CC
Ca_22540,GO:0005840,ribosome,CC
Ca_22540,GO:0006412,translation,BP
Ca_22543,GO:0008152,metabolic process,BP
Ca_22543,GO:0016787,hydrolase activity,MF
Ca_22544,GO:0008375,acetylglucosaminyltransferase activity,MF
Ca_22544,GO:0016020,membrane,CC
Ca_22547,GO:0046983,protein dimerization activity,MF
Ca_22549,GO:0004345,glucose-6-phosphate dehydrogenase activity,MF
Ca_22549,GO:0006006,glucose metabolic process,BP
Ca_22549,GO:0050661,NADP binding,MF
Ca_22551,GO:0006357,regulation of transcription by RNA polymerase II,BP
Ca_22551,GO:0016592,mediator complex,CC
Ca_22552,GO:0005506,iron ion binding,MF
Ca_22552,GO:0005737,cytoplasm,CC
Ca_22552,GO:0019310,inositol catabolic process,BP
Ca_22552,GO:0050113,inositol oxygenase activity,MF
Ca_22553,GO:0006629,lipid metabolic process,BP
Ca_22553,GO:0016787,hydrolase activity,MF
Ca_22553,GO:0016788,"hydrolase activity, acting on ester bonds",MF
Ca_22555,GO:0000166,nucleotide binding,MF
Ca_22555,GO:0003677,DNA binding,MF
Ca_22555,GO:0003684,damaged DNA binding,MF
Ca_22555,GO:0005524,ATP binding,MF
Ca_22555,GO:0006259,DNA metabolic process,BP
Ca_22555,GO:0006281,DNA repair,BP
Ca_22555,GO:0008094,"ATP-dependent activity, acting on DNA",MF
Ca_22555,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_22556,GO:0003824,catalytic activity,MF
Ca_22556,GO:0004222,metalloendopeptidase activity,MF
Ca_22556,GO:0006508,proteolysis,BP
Ca_22556,GO:0046872,metal ion binding,MF
Ca_22557,GO:0003993,acid phosphatase activity,MF
Ca_22558,GO:0005515,protein binding,MF
Ca_22559,GO:0003723,RNA binding,MF
Ca_22559,GO:0005524,ATP binding,MF
Ca_22559,GO:0005634,nucleus,CC
Ca_22559,GO:0005975,carbohydrate metabolic process,BP
Ca_22559,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",MF
Ca_22559,GO:0016779,nucleotidyltransferase activity,MF
Ca_22559,GO:0031123,RNA 3'-end processing,BP
Ca_22560,GO:0005634,nucleus,CC
Ca_22560,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22560,GO:0046983,protein dimerization activity,MF
Ca_22561,GO:0004672,protein kinase activity,MF
Ca_22561,GO:0004674,protein serine/threonine kinase activity,MF
Ca_22561,GO:0005524,ATP binding,MF
Ca_22561,GO:0006468,protein phosphorylation,BP
Ca_22561,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_22561,GO:0016998,cell wall macromolecule catabolic process,BP
Ca_22564,GO:0004470,malic enzyme activity,MF
Ca_22564,GO:0004471,malate dehydrogenase (decarboxylating) (NAD+) activity,MF
Ca_22564,GO:0006108,malate metabolic process,BP
Ca_22564,GO:0051287,NAD binding,MF
Ca_22565,GO:0000166,nucleotide binding,MF
Ca_22565,GO:0005524,ATP binding,MF
Ca_22565,GO:0016020,membrane,CC
Ca_22565,GO:0016887,ATP hydrolysis activity,MF
Ca_22565,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_22567,GO:0005515,protein binding,MF
Ca_22568,GO:0005216,monoatomic ion channel activity,MF
Ca_22568,GO:0006811,monoatomic ion transport,BP
Ca_22568,GO:0016020,membrane,CC
Ca_22568,GO:0055085,transmembrane transport,BP
Ca_22569,GO:0003824,catalytic activity,MF
Ca_22569,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_22569,GO:0005975,carbohydrate metabolic process,BP
Ca_22573,GO:0004672,protein kinase activity,MF
Ca_22573,GO:0004674,protein serine/threonine kinase activity,MF
Ca_22573,GO:0005524,ATP binding,MF
Ca_22573,GO:0006468,protein phosphorylation,BP
Ca_22573,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_22576,GO:0003824,catalytic activity,MF
Ca_22576,GO:0046872,metal ion binding,MF
Ca_22578,GO:0003677,DNA binding,MF
Ca_22578,GO:0003700,DNA-binding transcription factor activity,MF
Ca_22578,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22578,GO:0008289,lipid binding,MF
Ca_22578,GO:0043565,sequence-specific DNA binding,MF
Ca_22579,GO:0003677,DNA binding,MF
Ca_22579,GO:0003700,DNA-binding transcription factor activity,MF
Ca_22579,GO:0005634,nucleus,CC
Ca_22579,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22579,GO:0008270,zinc ion binding,MF
Ca_22579,GO:0043565,sequence-specific DNA binding,MF
Ca_22579,GO:0045893,positive regulation of DNA-templated transcription,BP
Ca_22582,GO:0003677,DNA binding,MF
Ca_22582,GO:0003700,DNA-binding transcription factor activity,MF
Ca_22582,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22584,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Ca_22584,GO:0031461,cullin-RING ubiquitin ligase complex,CC
Ca_22584,GO:0031625,ubiquitin protein ligase binding,MF
Ca_22585,GO:0003678,DNA helicase activity,MF
Ca_22585,GO:0005524,ATP binding,MF
Ca_22585,GO:0006511,ubiquitin-dependent protein catabolic process,BP
Ca_22585,GO:0031461,cullin-RING ubiquitin ligase complex,CC
Ca_22585,GO:0031625,ubiquitin protein ligase binding,MF
Ca_22589,GO:0006886,intracellular protein transport,BP
Ca_22590,GO:0005215,transporter activity,MF
Ca_22590,GO:0006810,transport,BP
Ca_22590,GO:0016020,membrane,CC
Ca_22591,GO:0005515,protein binding,MF
Ca_22591,GO:0008270,zinc ion binding,MF
Ca_22591,GO:0046872,metal ion binding,MF
Ca_22592,GO:0005515,protein binding,MF
Ca_22592,GO:0008270,zinc ion binding,MF
Ca_22593,GO:0004672,protein kinase activity,MF
Ca_22593,GO:0004674,protein serine/threonine kinase activity,MF
Ca_22593,GO:0005515,protein binding,MF
Ca_22593,GO:0005524,ATP binding,MF
Ca_22593,GO:0006468,protein phosphorylation,BP
Ca_22593,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_22593,GO:0048544,recognition of pollen,BP
Ca_22595,GO:0003993,acid phosphatase activity,MF
Ca_22596,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_22596,GO:0005618,cell wall,CC
Ca_22596,GO:0005975,carbohydrate metabolic process,BP
Ca_22596,GO:0016762,xyloglucan:xyloglucosyl transferase activity,MF
Ca_22596,GO:0048046,apoplast,CC
Ca_22597,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_22597,GO:0005975,carbohydrate metabolic process,BP
Ca_22598,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_22598,GO:0005618,cell wall,CC
Ca_22598,GO:0005975,carbohydrate metabolic process,BP
Ca_22598,GO:0016762,xyloglucan:xyloglucosyl transferase activity,MF
Ca_22598,GO:0048046,apoplast,CC
Ca_22599,GO:0016255,attachment of GPI anchor to protein,BP
Ca_22599,GO:0042765,GPI-anchor transamidase complex,CC
Ca_22600,GO:0016255,attachment of GPI anchor to protein,BP
Ca_22600,GO:0042765,GPI-anchor transamidase complex,CC
Ca_22602,GO:0005515,protein binding,MF
Ca_22603,GO:0005515,protein binding,MF
Ca_22604,GO:0003676,nucleic acid binding,MF
Ca_22604,GO:0004386,helicase activity,MF
Ca_22604,GO:0005524,ATP binding,MF
Ca_22605,GO:0005506,iron ion binding,MF
Ca_22605,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_22605,GO:0020037,heme binding,MF
Ca_22606,GO:0005506,iron ion binding,MF
Ca_22606,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_22606,GO:0020037,heme binding,MF
Ca_22607,GO:0005506,iron ion binding,MF
Ca_22607,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_22607,GO:0020037,heme binding,MF
Ca_22608,GO:0005506,iron ion binding,MF
Ca_22608,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_22608,GO:0020037,heme binding,MF
Ca_22614,GO:0006952,defense response,BP
Ca_22615,GO:0006952,defense response,BP
Ca_22616,GO:0008152,metabolic process,BP
Ca_22616,GO:0016758,hexosyltransferase activity,MF
Ca_22617,GO:0008152,metabolic process,BP
Ca_22617,GO:0016758,hexosyltransferase activity,MF
Ca_22619,GO:0003677,DNA binding,MF
Ca_22619,GO:0003700,DNA-binding transcription factor activity,MF
Ca_22619,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22621,GO:0006621,protein retention in ER lumen,BP
Ca_22621,GO:0046923,ER retention sequence binding,MF
Ca_22622,GO:0006621,protein retention in ER lumen,BP
Ca_22622,GO:0046923,ER retention sequence binding,MF
Ca_22623,GO:0006621,protein retention in ER lumen,BP
Ca_22623,GO:0046923,ER retention sequence binding,MF
Ca_22624,GO:0005506,iron ion binding,MF
Ca_22624,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_22624,GO:0020037,heme binding,MF
Ca_22625,GO:0005506,iron ion binding,MF
Ca_22625,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_22625,GO:0020037,heme binding,MF
Ca_22627,GO:0003934,GTP cyclohydrolase I activity,MF
Ca_22627,GO:0005737,cytoplasm,CC
Ca_22627,GO:0046654,tetrahydrofolate biosynthetic process,BP
Ca_22628,GO:0005515,protein binding,MF
Ca_22628,GO:0006886,intracellular protein transport,BP
Ca_22628,GO:0016192,vesicle-mediated transport,BP
Ca_22628,GO:0070402,NADPH binding,MF
Ca_22629,GO:0004672,protein kinase activity,MF
Ca_22629,GO:0004674,protein serine/threonine kinase activity,MF
Ca_22629,GO:0005524,ATP binding,MF
Ca_22629,GO:0006468,protein phosphorylation,BP
Ca_22629,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_22632,GO:0031047,regulatory ncRNA-mediated gene silencing,BP
Ca_22634,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_22634,GO:0005975,carbohydrate metabolic process,BP
Ca_22635,GO:0000166,nucleotide binding,MF
Ca_22635,GO:0005507,copper ion binding,MF
Ca_22635,GO:0006812,monoatomic cation transport,BP
Ca_22635,GO:0006825,copper ion transport,BP
Ca_22635,GO:0019829,ATPase-coupled monoatomic cation transmembrane transporter activity,MF
Ca_22635,GO:0030001,metal ion transport,BP
Ca_22635,GO:0043682,P-type divalent copper transporter activity,MF
Ca_22635,GO:0046872,metal ion binding,MF
Ca_22636,GO:0006457,protein folding,BP
Ca_22638,GO:0005515,protein binding,MF
Ca_22638,GO:0006457,protein folding,BP
Ca_22639,GO:0003735,structural constituent of ribosome,MF
Ca_22639,GO:0005622,intracellular anatomical structure,CC
Ca_22639,GO:0005840,ribosome,CC
Ca_22639,GO:0006412,translation,BP
Ca_22641,GO:0046983,protein dimerization activity,MF
Ca_22644,GO:0000166,nucleotide binding,MF
Ca_22644,GO:0005515,protein binding,MF
Ca_22644,GO:0006952,defense response,BP
Ca_22644,GO:0007165,signal transduction,BP
Ca_22644,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_22644,GO:0043531,ADP binding,MF
Ca_22645,GO:0006952,defense response,BP
Ca_22645,GO:0043531,ADP binding,MF
Ca_22646,GO:0006952,defense response,BP
Ca_22646,GO:0043531,ADP binding,MF
Ca_22651,GO:0000166,nucleotide binding,MF
Ca_22651,GO:0003824,catalytic activity,MF
Ca_22651,GO:0003899,DNA-directed RNA polymerase activity,MF
Ca_22651,GO:0006351,DNA-templated transcription,BP
Ca_22652,GO:0000151,ubiquitin ligase complex,CC
Ca_22652,GO:0004842,ubiquitin-protein transferase activity,MF
Ca_22652,GO:0005515,protein binding,MF
Ca_22652,GO:0016567,protein ubiquitination,BP
Ca_22653,GO:0004672,protein kinase activity,MF
Ca_22653,GO:0004674,protein serine/threonine kinase activity,MF
Ca_22653,GO:0005524,ATP binding,MF
Ca_22653,GO:0006468,protein phosphorylation,BP
Ca_22653,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_22655,GO:0004806,triacylglycerol lipase activity,MF
Ca_22655,GO:0006629,lipid metabolic process,BP
Ca_22656,GO:0000166,nucleotide binding,MF
Ca_22656,GO:0004812,aminoacyl-tRNA ligase activity,MF
Ca_22656,GO:0004816,asparagine-tRNA ligase activity,MF
Ca_22656,GO:0005524,ATP binding,MF
Ca_22656,GO:0005737,cytoplasm,CC
Ca_22656,GO:0006418,tRNA aminoacylation for protein translation,BP
Ca_22656,GO:0006421,asparaginyl-tRNA aminoacylation,BP
Ca_22662,GO:0005515,protein binding,MF
Ca_22663,GO:0000226,microtubule cytoskeleton organization,BP
Ca_22663,GO:0000922,spindle pole,CC
Ca_22663,GO:0005815,microtubule organizing center,CC
Ca_22664,GO:0004185,serine-type carboxypeptidase activity,MF
Ca_22664,GO:0006508,proteolysis,BP
Ca_22665,GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",MF
Ca_22665,GO:0046872,metal ion binding,MF
Ca_22666,GO:0005506,iron ion binding,MF
Ca_22666,GO:0005515,protein binding,MF
Ca_22666,GO:0016165,linoleate 13S-lipoxygenase activity,MF
Ca_22666,GO:0016702,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",MF
Ca_22666,GO:0046872,metal ion binding,MF
Ca_22667,GO:0006886,intracellular protein transport,BP
Ca_22667,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,BP
Ca_22667,GO:0008270,zinc ion binding,MF
Ca_22667,GO:0030127,COPII vesicle coat,CC
Ca_22668,GO:0005524,ATP binding,MF
Ca_22669,GO:0005524,ATP binding,MF
Ca_22673,GO:0003824,catalytic activity,MF
Ca_22673,GO:0008152,metabolic process,BP
Ca_22674,GO:0006144,purine nucleobase metabolic process,BP
Ca_22674,GO:0006810,transport,BP
Ca_22674,GO:0033971,hydroxyisourate hydrolase activity,MF
Ca_22675,GO:0030001,metal ion transport,BP
Ca_22675,GO:0046872,metal ion binding,MF
Ca_22676,GO:0006952,defense response,BP
Ca_22678,GO:0005634,nucleus,CC
Ca_22679,GO:0003676,nucleic acid binding,MF
Ca_22679,GO:0003677,DNA binding,MF
Ca_22679,GO:0005634,nucleus,CC
Ca_22679,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22680,GO:0003677,DNA binding,MF
Ca_22680,GO:0003700,DNA-binding transcription factor activity,MF
Ca_22680,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22681,GO:0006952,defense response,BP
Ca_22682,GO:0006952,defense response,BP
Ca_22684,GO:0003779,actin binding,MF
Ca_22684,GO:0030036,actin cytoskeleton organization,BP
Ca_22686,GO:0004672,protein kinase activity,MF
Ca_22686,GO:0005515,protein binding,MF
Ca_22686,GO:0005524,ATP binding,MF
Ca_22686,GO:0006468,protein phosphorylation,BP
Ca_22686,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_22689,GO:0003723,RNA binding,MF
Ca_22689,GO:0008168,methyltransferase activity,MF
Ca_22689,GO:0032259,methylation,BP
Ca_22692,GO:0004650,polygalacturonase activity,MF
Ca_22692,GO:0005975,carbohydrate metabolic process,BP
Ca_22693,GO:0004650,polygalacturonase activity,MF
Ca_22693,GO:0005975,carbohydrate metabolic process,BP
Ca_22694,GO:0004650,polygalacturonase activity,MF
Ca_22694,GO:0005975,carbohydrate metabolic process,BP
Ca_22695,GO:0004650,polygalacturonase activity,MF
Ca_22695,GO:0005975,carbohydrate metabolic process,BP
Ca_22696,GO:0008270,zinc ion binding,MF
Ca_22696,GO:0016491,oxidoreductase activity,MF
Ca_22696,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_22697,GO:0003676,nucleic acid binding,MF
Ca_22697,GO:0005515,protein binding,MF
Ca_22697,GO:0005634,nucleus,CC
Ca_22697,GO:0008270,zinc ion binding,MF
Ca_22698,GO:0008137,NADH dehydrogenase (ubiquinone) activity,MF
Ca_22698,GO:0009055,electron transfer activity,MF
Ca_22698,GO:0016020,membrane,CC
Ca_22699,GO:0003714,transcription corepressor activity,MF
Ca_22699,GO:0006351,DNA-templated transcription,BP
Ca_22700,GO:0003677,DNA binding,MF
Ca_22700,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22701,GO:0003677,DNA binding,MF
Ca_22701,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22702,GO:0000049,tRNA binding,MF
Ca_22702,GO:0000166,nucleotide binding,MF
Ca_22702,GO:0004812,aminoacyl-tRNA ligase activity,MF
Ca_22702,GO:0004818,glutamate-tRNA ligase activity,MF
Ca_22702,GO:0005524,ATP binding,MF
Ca_22702,GO:0005737,cytoplasm,CC
Ca_22702,GO:0006418,tRNA aminoacylation for protein translation,BP
Ca_22702,GO:0006424,glutamyl-tRNA aminoacylation,BP
Ca_22702,GO:0043039,tRNA aminoacylation,BP
Ca_22704,GO:0005509,calcium ion binding,MF
Ca_22705,GO:0008270,zinc ion binding,MF
Ca_22705,GO:0016491,oxidoreductase activity,MF
Ca_22705,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_22709,GO:0006400,tRNA modification,BP
Ca_22709,GO:0008176,tRNA (guanine(46)-N7)-methyltransferase activity,MF
Ca_22711,GO:0000287,magnesium ion binding,MF
Ca_22711,GO:0004749,ribose phosphate diphosphokinase activity,MF
Ca_22711,GO:0009156,ribonucleoside monophosphate biosynthetic process,BP
Ca_22711,GO:0009165,nucleotide biosynthetic process,BP
Ca_22713,GO:0000166,nucleotide binding,MF
Ca_22713,GO:0005524,ATP binding,MF
Ca_22713,GO:0006810,transport,BP
Ca_22713,GO:0016887,ATP hydrolysis activity,MF
Ca_22713,GO:0017111,ribonucleoside triphosphate phosphatase activity,MF
Ca_22713,GO:0042626,ATPase-coupled transmembrane transporter activity,MF
Ca_22713,GO:0055085,transmembrane transport,BP
Ca_22714,GO:0005506,iron ion binding,MF
Ca_22714,GO:0006633,fatty acid biosynthetic process,BP
Ca_22714,GO:0016491,oxidoreductase activity,MF
Ca_22715,GO:0005506,iron ion binding,MF
Ca_22715,GO:0006633,fatty acid biosynthetic process,BP
Ca_22715,GO:0016491,oxidoreductase activity,MF
Ca_22717,GO:0005524,ATP binding,MF
Ca_22717,GO:0006139,nucleobase-containing compound metabolic process,BP
Ca_22717,GO:0016776,"phosphotransferase activity, phosphate group as acceptor",MF
Ca_22717,GO:0019205,nucleobase-containing compound kinase activity,MF
Ca_22718,GO:0003924,GTPase activity,MF
Ca_22718,GO:0005525,GTP binding,MF
Ca_22719,GO:0004470,malic enzyme activity,MF
Ca_22719,GO:0004471,malate dehydrogenase (decarboxylating) (NAD+) activity,MF
Ca_22719,GO:0006108,malate metabolic process,BP
Ca_22719,GO:0051287,NAD binding,MF
Ca_22721,GO:0004857,enzyme inhibitor activity,MF
Ca_22721,GO:0030599,pectinesterase activity,MF
Ca_22723,GO:0005737,cytoplasm,CC
Ca_22723,GO:0006457,protein folding,BP
Ca_22725,GO:0005515,protein binding,MF
Ca_22725,GO:0008270,zinc ion binding,MF
Ca_22726,GO:0016491,oxidoreductase activity,MF
Ca_22726,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,MF
Ca_22727,GO:0016491,oxidoreductase activity,MF
Ca_22727,GO:0016706,2-oxoglutarate-dependent dioxygenase activity,MF
Ca_22728,GO:0005515,protein binding,MF
Ca_22728,GO:0006886,intracellular protein transport,BP
Ca_22728,GO:0008270,zinc ion binding,MF
Ca_22728,GO:0016192,vesicle-mediated transport,BP
Ca_22729,GO:0008152,metabolic process,BP
Ca_22729,GO:0016758,hexosyltransferase activity,MF
Ca_22730,GO:0008152,metabolic process,BP
Ca_22730,GO:0016758,hexosyltransferase activity,MF
Ca_22731,GO:0008152,metabolic process,BP
Ca_22731,GO:0016758,hexosyltransferase activity,MF
Ca_22732,GO:0008152,metabolic process,BP
Ca_22732,GO:0016758,hexosyltransferase activity,MF
Ca_22736,GO:0005515,protein binding,MF
Ca_22736,GO:0008270,zinc ion binding,MF
Ca_22737,GO:0015986,proton motive force-driven ATP synthesis,BP
Ca_22737,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",MF
Ca_22737,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",MF
Ca_22738,GO:0005543,phospholipid binding,MF
Ca_22738,GO:0005545,1-phosphatidylinositol binding,MF
Ca_22738,GO:0030118,clathrin coat,CC
Ca_22738,GO:0030276,clathrin binding,MF
Ca_22738,GO:0048268,clathrin coat assembly,BP
Ca_22740,GO:0004672,protein kinase activity,MF
Ca_22740,GO:0004674,protein serine/threonine kinase activity,MF
Ca_22740,GO:0005524,ATP binding,MF
Ca_22740,GO:0006468,protein phosphorylation,BP
Ca_22740,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_22741,GO:0003824,catalytic activity,MF
Ca_22742,GO:0003723,RNA binding,MF
Ca_22742,GO:0005488,binding,MF
Ca_22742,GO:0005515,protein binding,MF
Ca_22747,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",MF
Ca_22748,GO:0004222,metalloendopeptidase activity,MF
Ca_22748,GO:0006508,proteolysis,BP
Ca_22748,GO:0016020,membrane,CC
Ca_22749,GO:0005506,iron ion binding,MF
Ca_22749,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",MF
Ca_22749,GO:0020037,heme binding,MF
Ca_22751,GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF
Ca_22751,GO:0005975,carbohydrate metabolic process,BP
Ca_22757,GO:0000166,nucleotide binding,MF
Ca_22757,GO:0003676,nucleic acid binding,MF
Ca_22758,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,BP
Ca_22758,GO:0019901,protein kinase binding,MF
Ca_22759,GO:0005515,protein binding,MF
Ca_22762,GO:0005515,protein binding,MF
Ca_22763,GO:0004649,poly(ADP-ribose) glycohydrolase activity,MF
Ca_22763,GO:0005975,carbohydrate metabolic process,BP
Ca_22764,GO:0016757,glycosyltransferase activity,MF
Ca_22765,GO:0006357,regulation of transcription by RNA polymerase II,BP
Ca_22765,GO:0033588,elongator holoenzyme complex,CC
Ca_22766,GO:0000166,nucleotide binding,MF
Ca_22766,GO:0004812,aminoacyl-tRNA ligase activity,MF
Ca_22766,GO:0004830,tryptophan-tRNA ligase activity,MF
Ca_22766,GO:0005524,ATP binding,MF
Ca_22766,GO:0005737,cytoplasm,CC
Ca_22766,GO:0006418,tRNA aminoacylation for protein translation,BP
Ca_22766,GO:0006436,tryptophanyl-tRNA aminoacylation,BP
Ca_22767,GO:0030145,manganese ion binding,MF
Ca_22767,GO:0045735,nutrient reservoir activity,MF
Ca_22768,GO:0000166,nucleotide binding,MF
Ca_22768,GO:0003676,nucleic acid binding,MF
Ca_22768,GO:0004812,aminoacyl-tRNA ligase activity,MF
Ca_22768,GO:0004824,lysine-tRNA ligase activity,MF
Ca_22768,GO:0005524,ATP binding,MF
Ca_22768,GO:0005737,cytoplasm,CC
Ca_22768,GO:0006418,tRNA aminoacylation for protein translation,BP
Ca_22768,GO:0006430,lysyl-tRNA aminoacylation,BP
Ca_22769,GO:0003700,DNA-binding transcription factor activity,MF
Ca_22769,GO:0006355,regulation of DNA-templated transcription,BP
Ca_22769,GO:0043565,sequence-specific DNA binding,MF
Ca_22770,GO:0004550,nucleoside diphosphate kinase activity,MF
Ca_22770,GO:0005524,ATP binding,MF
Ca_22770,GO:0006183,GTP biosynthetic process,BP
Ca_22770,GO:0006228,UTP biosynthetic process,BP
Ca_22770,GO:0006241,CTP biosynthetic process,BP
Ca_22771,GO:0005856,cytoskeleton,CC
Ca_22771,GO:0006909,phagocytosis,BP
Ca_22774,GO:0004672,protein kinase activity,MF
Ca_22774,GO:0004674,protein serine/threonine kinase activity,MF
Ca_22774,GO:0005524,ATP binding,MF
Ca_22774,GO:0006468,protein phosphorylation,BP
Ca_22774,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_22775,GO:0006629,lipid metabolic process,BP
Ca_22775,GO:0008152,metabolic process,BP
Ca_22776,GO:0005507,copper ion binding,MF
Ca_22776,GO:0009055,electron transfer activity,MF
Ca_22777,GO:0003735,structural constituent of ribosome,MF
Ca_22777,GO:0005840,ribosome,CC
Ca_22777,GO:0006412,translation,BP
Ca_22778,GO:0003924,GTPase activity,MF
Ca_22778,GO:0005525,GTP binding,MF
Ca_22778,GO:0005622,intracellular anatomical structure,CC
Ca_22778,GO:0006886,intracellular protein transport,BP
Ca_22778,GO:0006913,nucleocytoplasmic transport,BP
Ca_22778,GO:0007165,signal transduction,BP
Ca_22778,GO:0007264,small GTPase-mediated signal transduction,BP
Ca_22778,GO:0015031,protein transport,BP
Ca_22778,GO:0016020,membrane,CC
Ca_22780,GO:0000166,nucleotide binding,MF
Ca_22780,GO:0004820,glycine-tRNA ligase activity,MF
Ca_22780,GO:0005524,ATP binding,MF
Ca_22780,GO:0005737,cytoplasm,CC
