Gene_ID,Tissue,Tissue_Median_TPM,Other_Tissues_Mean_TPM,Other_Tissues_Maximum_TPM,Fold_Enrichment_vs_Other_Mean,Fold_Enrichment_vs_Second_Highest,Relative_Expression_Fraction,Tau,Expression_Class,Maximum_Tissue_Recalculated,Description,TF_Family,Marker_Score
Ca_00101,Androecium,540.518352,14.932442338709677,141.062921,33.988408085075555,3.811820481996144,0.5386738978293659,0.9723738476529846,Tissue-specific,Androecium,nodulin MtN21 /EamA-like transporter family protein,NA,44.917937781991945
Ca_07980,Androecium,7352.34566,539.7225295483871,3559.025462,13.599110926895415,2.065531760514133,0.3052825024547068,0.9265917906329248,Tissue-specific,Androecium,Plant invertase/pectin methylesterase inhibitor superfamily protein,NA,44.813698168409985
Ca_08753,Androecium,375.789186,8.29061164516129,92.469098,40.555907446226996,4.03116317651851,0.5938531706857226,0.977938131393804,Tissue-specific,Androecium,pfkB-like carbohydrate kinase family protein,NA,44.70488175527506
Ca_08703,Androecium,195.776276,2.2687986774193547,33.98093,60.198346676813564,5.625244268805889,0.73569946995599,0.9884112685981454,Tissue-specific,Androecium,epsin-2-like [Glycine max],NA,44.52716301272756
Ca_01499,Androecium,1893.861068,94.87736238709678,713.477746,19.763383355808827,2.652092494984441,0.39169345187071714,0.949902680830072,Tissue-specific,Androecium,plasma membrane H+-ATPase,NA,44.5216283335636
Ca_17120,Androecium,402.302081,9.545957903225807,140.721756,38.242337462454465,2.8457316108897213,0.5761768165132641,0.9762716666056076,Tissue-specific,Androecium,17.6 kDa class II heat shock protein,NA,44.424226552544475
Ca_23069,Androecium,735.623045,25.48777535483871,213.111132,27.80992496092866,3.4403771448931484,0.4821405202619954,0.9653521249394263,Tissue-specific,Androecium,actin depolymerizing factor 7,NA,44.11216239407025
Ca_12785,Androecium,1532.168239,73.81763058064516,397.907965,20.4920715491974,3.843413452524068,0.40103711788094176,0.9518214588309024,Tissue-specific,Androecium,nucleolar protein 58-like [Glycine max],NA,43.885649295813565
Ca_07173,Androecium,250.743553,4.214941,48.904951,48.27351891421207,5.0444604784803815,0.657417757008395,0.9831902318142552,Tissue-specific,Androecium,alpha-L-arabinofuranosidase 1,NA,43.86010434771089
Ca_03434,Androecium,1982.293069,105.77371,641.306417,18.574732197654274,3.087767795102069,0.3767702522533784,0.9466407305488086,Tissue-specific,Androecium,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase n=2 Tax=Alcaligenes RepID=M5J2G5_9BURK,NA,43.70897966236266
Ca_14077,Androecium,5284.01293,379.3205617096774,1860.091449,13.89620615367723,2.8397384410313307,0.3100409743416454,0.9282135439987128,Tissue-specific,Androecium,B12D protein,NA,43.58465092624928
Ca_22128,Androecium,2946.782526,182.41315588709676,1345.514082,16.07181617775859,2.189195468064923,0.34258577811579005,0.9380975167737584,Tissue-specific,Androecium,GATA type zinc finger transcription factor family protein,NA,43.317707203850496
Ca_00326,Androecium,683.861511,24.207421322580647,158.737222,27.169042887639815,4.28742595135403,0.4767939269463964,0.9646018661187956,Tissue-specific,Androecium,rapid alkalinization factor 23,NA,43.285815923430036
Ca_16023,Androecium,324.825078,7.381024274193549,66.655501,38.87652240827712,4.815943614104639,0.5867114687919954,0.9772769260315746,Tissue-specific,Androecium,Clathrin light chain protein,NA,43.08237594174157
Ca_23477,Androecium,1445.102644,71.52649108064516,318.082404,19.93895778567337,4.532066406269147,0.39457547686484434,0.9505042140932896,Tissue-specific,Androecium,Thioredoxin superfamily protein,NA,43.081705606756096
Ca_23590,Androecium,320.955556,7.235213016129032,65.465799,39.09498823763705,4.843928168229799,0.588642325609401,0.977457274439178,Tissue-specific,Androecium,uncharacterized protein LOC100815853 isoform X3 [Glycine max],NA,43.06718887304766
Ca_10304,Androecium,1518.65782,77.11201861290323,404.438863,19.454852748472813,3.7481799567891936,0.38848993657655156,0.9492235725537546,Tissue-specific,Androecium,Methionine S-adenosyl transferase n=1 Tax=Detonula confervacea RepID=B9ZZX3_DETCO,NA,42.961237665043875
Ca_15937,Androecium,234.626737,4.121272451612903,45.007509,46.00941254859254,5.1214843429145445,0.6474494558750877,0.9824347706305404,Tissue-specific,Androecium,1-acyl-sn-glycerol-3-phosphate acyltransferase-like protein,NA,42.76536562891544
